ich alle 0er du alle 5er alle 5s T1
0,1000
5,1000
10,1000
15,1000
20,800
25,410
30,150
35,103
40,56
45,37.1
50,25.6
55,16.6
60,11
65,7.14
70,4.5
75,3.34
80,2.31
85,1.70
90,1.22
95,917
100,0.65
105,513
110,0.36
115,307
120,0.24
125,208
130,0.17
135,0.15
140,0.13
145,116
150,103
155,0.0958
160,0.0875
165,0.0833
170,0.0775
175,0.0737
180,0.0692
185,0.0666
190,0.0635
195,0.0617
200,0.0590
205,0.0579
210,0.0566
215,0.0553
220,0.0539
225,0.0529
230,0.0520
235,0.0511
240,0.0499
250,0.0480
260,0.0460
270,0.0450
280,0.0440
290,0.0427
300,0.0416
